center_x,center_y,global neck angle,relative neck angle,neck length,dendrite residual length,spine circumferance length,spine area,source_file,roi_name
477.1,319.8,-0.16309797332473994,-1.568745622705137,1.707451472399522,0.21145990484864272,2.9964570631872043,2.2446887328811207,RoiSet2.zip,0321-0479-1
429.8,279.2,2.6854262017762145,1.5782774839821239,3.2280780659705237,0.0888504055479825,3.162974077365651,2.501101253521773,RoiSet2.zip,0277-0428-1
418.46665649414064,391.8666687011719,-2.7286160684692122,1.5713624703181528,3.2857997203656786,0.26926376317463296,3.5185474446701632,3.095044030098734,RoiSet2.zip,0393-0421-1
331.2,258.7,1.1889410327638081,-1.5667689514279486,3.3853363274262285,0.26343864266338235,3.328393409735506,2.769550672492688,RoiSet1.zip,0255-0330-1
307.7,315.2,-1.963960676978107,1.5635146460097227,2.1218673796797534,0.26343864266338235,2.966024794197887,2.1993257699491546,RoiSet1.zip,0312-0306-1
262.6,257.3,1.5076524288796038,-1.5715214147142285,1.806600398538645,0.01417012402762544,3.0725217742468014,2.3600975133051785,RoiSet1.zip,0255-0265-1
252.3,306.1,-1.6309745371917086,1.5730369263940438,2.6346782857535946,0.06838052199818766,2.3746348567580857,1.4097226757326233,RoiSet1.zip,0304-0252-1
267.4,308.7,-1.8621249067522574,1.5632618560458986,2.7684785804696093,0.017683278673006512,2.6549224807257774,1.762153344665779,RoiSet1.zip,0305-0268
310.3,263.6,1.191151070379357,-1.5645589138123777,2.2688160213342456,0.23400233877766297,2.387938237357769,1.4255622563588324,RoiSet1.zip,0261-0309-1
181.1,296.4,-1.9166349242978917,1.567981669712593,3.51197130160161,0.2255872501807751,2.7446866024785272,1.88332613645628,RoiSet1.zip,0295-0183-1
172.1999969482422,207.2,1.1785189147274353,-1.5707335946468421,3.718179910666964,0.1103200916512396,3.480631816223248,3.0286994600263863,RoiSet1.zip,0200-0174-1
155.1,251.6,-1.9323740072368756,1.6015587905684334,0.5628969849137582,0.1006227519104013,2.7393734872020747,1.876041775596414,RoiSet1.zip,0250-0156-1
103.1,232.2,-2.1329830706949267,1.5553984237841032,1.0637147173937196,0.1103200916512396,2.7843867451636917,1.9382023866608145,RoiSet1.zip,0232-0098-1
45.0,149.2,0.8224700444644163,-1.565971328163188,2.022300670029064,0.1564505691643056,2.9476553529696483,2.1721680199726534,RoiSet1.zip,0149-0045-1
388.9,378.3,-2.2107316492249747,1.5743621131581502,3.5010222574320116,0.11104532941987418,2.8848943044879354,2.0806537870167316,RoiSet1.zip,0376-0390-1
423.5,324.9,0.9218620579929697,-1.576229486803492,2.2122326516193445,0.11104532941987418,2.6339732094771473,1.7344537170608356,RoiSet1.zip,0323-0425-1
406.4,299.1,1.103861493180237,-1.5740835514087501,3.228005172965836,0.027197623863157713,2.786246516101424,1.9407924121218305,RoiSet1.zip,0296-0407-1
215.93333435058594,296.0,-1.9116173607605949,1.5729992332499096,2.4236459267044768,0.08979241182400796,2.6272702979497016,1.7256373046221787,RoiSet1.zip,0294-0215-1
227.8000030517578,251.73333129882812,1.2158113806323882,-1.5827573325366937,1.6875879523363038,0.08979241182400796,2.158814986688973,1.1651205366882282,RoiSet1.zip,0250-0226-1
372.40000610351564,343.3333435058594,-2.02268599401463,1.5825542685759955,1.7013186921075036,0.027197623863157713,2.6982247177938827,1.8201041569284695,RoiSet1.zip,0343-0374-1
